pair_id	rows	cols
272730423297	21	2
270582939650	0	2
270582939649	17	2
268435456003	18	2
268435456002	0	2
268435456001	116	2
266287972356	2492	2
266287972355	0	2
266287972354	0	2
266287972353	18	2
264140488709	15	2
264140488708	0	2
264140488707	457	2
264140488706	21	2
264140488705	0	2
261993005062	0	2
261993005061	0	2
261993005060	780	2
261993005059	21	2
261993005058	0	2
261993005057	1071	2
259845521415	20	2
259845521414	52	2
259845521413	0	2
259845521412	17	2
259845521411	27	2
259845521410	0	2
259845521409	15	2
257698037768	0	2
257698037767	0	2
257698037766	0	2
257698037765	0	2
257698037764	23	2
257698037763	0	2
257698037762	0	2
257698037761	0	2
255550554121	18	2
255550554120	0	2
255550554119	0	2
255550554118	36	2
255550554117	27	2
255550554116	0	2
255550554115	0	2
255550554114	0	2
255550554113	0	2
253403070474	28	2
253403070473	0	2
253403070472	0	2
253403070471	30	2
253403070470	39	2
253403070469	0	2
253403070468	0	2
253403070467	415	2
253403070466	0	2
253403070465	26	2
251255586827	18	2
251255586826	0	2
251255586825	0	2
251255586824	18	2
251255586823	19	2
251255586822	0	2
251255586821	0	2
251255586820	21	2
251255586819	0	2
251255586818	3606	2
251255586817	25	2
249108103180	285	2
249108103179	114	2
249108103178	15	2
249108103177	0	2
249108103176	487	2
249108103175	18	2
249108103174	18	2
249108103173	17	2
249108103172	17	2
249108103171	0	2
249108103170	19	2
249108103169	0	2
246960619533	0	2
246960619532	0	2
246960619531	0	2
246960619530	0	2
246960619529	0	2
246960619528	22	2
246960619527	23	2
246960619526	0	2
246960619525	38	2
246960619524	0	2
246960619523	0	2
246960619522	0	2
246960619521	0	2
244813135886	16	2
244813135885	0	2
244813135884	0	2
244813135883	0	2
244813135882	19	2
244813135881	0	2
244813135880	0	2
244813135879	0	2
244813135878	373	2
244813135877	0	2
244813135876	15	2
244813135875	0	2
244813135874	16	2
244813135873	22	2
242665652239	17	2
242665652238	22	2
242665652237	0	2
242665652236	28	2
242665652235	23	2
242665652234	18	2
242665652233	16	2
242665652232	256	2
242665652231	20	2
242665652230	0	2
242665652229	385	2
242665652228	15	2
242665652227	34	2
242665652226	0	2
242665652225	0	2
240518168592	0	2
240518168591	17	2
240518168590	16	2
240518168589	0	2
240518168588	0	2
240518168587	16	2
240518168586	0	2
240518168585	17	2
240518168584	70	2
240518168583	0	2
240518168582	0	2
240518168581	0	2
240518168580	16	2
240518168579	0	2
240518168578	97	2
240518168577	20	2
238370684945	0	2
238370684944	755	2
238370684943	0	2
238370684942	0	2
238370684941	0	2
238370684940	0	2
238370684939	0	2
238370684938	90	2
238370684937	0	2
238370684936	0	2
238370684935	0	2
238370684934	0	2
238370684933	43	2
238370684932	0	2
238370684931	0	2
238370684930	0	2
238370684929	0	2
236223201298	15	2
236223201297	0	2
236223201296	16	2
236223201295	341	2
236223201294	17	2
236223201293	0	2
236223201292	0	2
236223201291	21	2
236223201290	15	2
236223201289	75	2
236223201288	22	2
236223201287	50	2
236223201286	0	2
236223201285	0	2
236223201284	0	2
236223201283	0	2
236223201282	0	2
236223201281	0	2
234075717651	0	2
234075717650	0	2
234075717649	110	2
234075717648	15	2
234075717647	0	2
234075717646	566	2
234075717645	512	2
234075717644	0	2
234075717643	22	2
234075717642	0	2
234075717641	0	2
234075717640	0	2
234075717639	0	2
234075717638	45	2
234075717637	16	2
234075717636	15	2
234075717635	0	2
234075717634	15	2
234075717633	0	2
231928234004	31	2
231928234003	113	2
231928234002	0	2
231928234001	23	2
231928234000	30	2
231928233999	0	2
231928233998	0	2
231928233997	2936	2
231928233996	0	2
231928233995	20	2
231928233994	319	2
231928233993	15	2
231928233992	20	2
231928233991	0	2
231928233990	0	2
231928233989	178	2
231928233988	16	2
231928233987	91	2
231928233986	17	2
231928233985	0	2
229780750357	18	2
229780750356	0	2
229780750355	0	2
229780750354	20	2
229780750353	23	2
229780750352	15	2
229780750351	16	2
229780750350	207	2
229780750349	0	2
229780750348	28	2
229780750347	1279	2
229780750346	26	2
229780750345	21	2
229780750344	0	2
229780750343	0	2
229780750342	836	2
229780750341	18	2
229780750340	0	2
229780750339	24	2
229780750338	16	2
229780750337	173	2
227633266710	0	2
227633266709	0	2
227633266708	0	2
227633266707	17	2
227633266706	0	2
227633266705	17	2
227633266704	19	2
227633266703	15	2
227633266702	0	2
227633266701	146	2
227633266700	22	2
227633266699	198	2
227633266698	36	2
227633266697	0	2
227633266696	0	2
227633266695	23	2
227633266694	0	2
227633266693	0	2
227633266692	0	2
227633266691	0	2
227633266690	23	2
227633266689	19	2
225485783063	17	2
225485783062	23	2
225485783061	1319	2
225485783060	484	2
225485783059	0	2
225485783058	163	2
225485783057	288	2
225485783056	15	2
225485783055	0	2
225485783054	0	2
225485783053	0	2
225485783052	0	2
225485783051	15	2
225485783050	0	2
225485783049	0	2
225485783048	0	2
225485783047	0	2
225485783046	0	2
225485783045	37	2
225485783044	33	2
225485783043	0	2
225485783042	0	2
225485783041	17	2
223338299416	0	2
223338299415	16	2
223338299414	0	2
223338299413	0	2
223338299412	0	2
223338299411	20	2
223338299410	0	2
223338299409	17	2
223338299408	56	2
223338299407	0	2
223338299406	15	2
223338299405	0	2
223338299404	0	2
223338299403	0	2
223338299402	66	2
223338299401	55	2
223338299400	443	2
223338299399	0	2
223338299398	0	2
223338299397	20	2
223338299396	0	2
223338299395	0	2
223338299394	22	2
223338299393	15	2
221190815769	0	2
221190815768	0	2
221190815767	0	2
221190815766	0	2
221190815765	0	2
221190815764	0	2
221190815763	0	2
221190815762	0	2
221190815761	39	2
221190815760	0	2
221190815759	0	2
221190815758	0	2
221190815757	0	2
221190815756	15	2
221190815755	78	2
221190815754	22	2
221190815753	37	2
221190815752	0	2
221190815751	0	2
221190815750	0	2
221190815749	0	2
221190815748	15	2
221190815747	0	2
221190815746	0	2
221190815745	29	2
219043332122	23	2
219043332121	0	2
219043332120	0	2
219043332119	34	2
219043332118	23	2
219043332117	0	2
219043332116	0	2
219043332115	377	2
219043332114	0	2
219043332113	25	2
219043332112	3077	2
219043332111	28	2
219043332110	28	2
219043332109	0	2
219043332108	0	2
219043332107	172	2
219043332106	0	2
219043332105	0	2
219043332104	18	2
219043332103	0	2
219043332102	270	2
219043332101	1037	2
219043332100	18	2
219043332099	19	2
219043332098	0	2
219043332097	0	2
216895848475	0	2
216895848474	0	2
216895848473	0	2
216895848472	0	2
216895848471	17	2
216895848470	0	2
216895848469	0	2
216895848468	0	2
216895848467	128	2
216895848466	0	2
216895848465	0	2
216895848464	0	2
216895848463	0	2
216895848462	18	2
216895848461	337	2
216895848460	0	2
216895848459	52	2
216895848458	0	2
216895848457	0	2
216895848456	0	2
216895848455	0	2
216895848454	0	2
216895848453	0	2
216895848452	0	2
216895848451	40	2
216895848450	125	2
216895848449	0	2
214748364828	33	2
214748364827	197	2
214748364826	0	2
214748364825	38	2
214748364824	27	2
214748364823	0	2
214748364822	0	2
214748364821	2069	2
214748364820	0	2
214748364819	17	2
214748364818	237	2
214748364817	16	2
214748364816	20	2
214748364815	0	2
214748364814	0	2
214748364813	155	2
214748364812	20	2
214748364811	139	2
214748364810	0	2
214748364809	0	2
214748364808	3055	2
214748364807	137	2
214748364806	23	2
214748364805	0	2
214748364804	20	2
214748364803	17	2
214748364802	208	2
214748364801	0	2
212600881181	0	2
212600881180	0	2
212600881179	24	2
212600881178	0	2
212600881177	0	2
212600881176	159	2
212600881175	113	2
212600881174	0	2
212600881173	44	2
212600881172	0	2
212600881171	0	2
212600881170	0	2
212600881169	0	2
212600881168	36	2
212600881167	15	2
212600881166	0	2
212600881165	0	2
212600881164	0	2
212600881163	0	2
212600881162	448	2
212600881161	0	2
212600881160	0	2
212600881159	0	2
212600881158	0	2
212600881157	0	2
212600881156	0	2
212600881155	0	2
212600881154	0	2
212600881153	0	2
210453397534	19	2
210453397533	0	2
210453397532	0	2
210453397531	0	2
210453397530	17	2
210453397529	0	2
210453397528	16	2
210453397527	0	2
210453397526	194	2
210453397525	0	2
210453397524	0	2
210453397523	0	2
210453397522	0	2
210453397521	69	2
210453397520	112	2
210453397519	0	2
210453397518	26	2
210453397517	0	2
210453397516	0	2
210453397515	46	2
210453397514	0	2
210453397513	0	2
210453397512	0	2
210453397511	0	2
210453397510	27	2
210453397509	15	2
210453397508	0	2
210453397507	57	2
210453397506	0	2
210453397505	33	2
208305913887	0	2
208305913886	0	2
208305913885	18	2
208305913884	0	2
208305913883	0	2
208305913882	62	2
208305913881	68	2
208305913880	0	2
208305913879	48	2
208305913878	0	2
208305913877	0	2
208305913876	0	2
208305913875	0	2
208305913874	183	2
208305913873	25	2
208305913872	0	2
208305913871	21	2
208305913870	0	2
208305913869	0	2
208305913868	191	2
208305913867	0	2
208305913866	0	2
208305913865	0	2
208305913864	0	2
208305913863	0	2
208305913862	0	2
208305913861	0	2
208305913860	19	2
208305913859	0	2
208305913858	205	2
208305913857	104	2
206158430240	119	2
206158430239	530	2
206158430238	21	2
206158430237	0	2
206158430236	144	2
206158430235	16	2
206158430234	23	2
206158430233	22	2
206158430232	21	2
206158430231	0	2
206158430230	0	2
206158430229	0	2
206158430228	1043	2
206158430227	0	2
206158430226	0	2
206158430225	19	2
206158430224	0	2
206158430223	122	2
206158430222	0	2
206158430221	0	2
206158430220	18	2
206158430219	18	2
206158430218	25	2
206158430217	0	2
206158430216	0	2
206158430215	0	2
206158430214	0	2
206158430213	0	2
206158430212	17	2
206158430211	18	2
206158430210	0	2
206158430209	0	2
204010946593	19	2
204010946592	25	2
204010946591	18	2
204010946590	17	2
204010946589	20	2
204010946588	0	2
204010946587	16	2
204010946586	72	2
204010946585	0	2
204010946584	23	2
204010946583	505	2
204010946582	24	2
204010946581	40	2
204010946580	0	2
204010946579	0	2
204010946578	675	2
204010946577	30	2
204010946576	0	2
204010946575	16	2
204010946574	0	2
204010946573	51	2
204010946572	984	2
204010946571	38	2
204010946570	0	2
204010946569	38	2
204010946568	0	2
204010946567	438	2
204010946566	0	2
204010946565	38	2
204010946564	0	2
204010946563	0	2
204010946562	0	2
204010946561	41	2
201863462946	1821	2
201863462945	17	2
201863462944	0	2
201863462943	19	2
201863462942	1464	2
201863462941	0	2
201863462940	18	2
201863462939	16	2
201863462938	0	2
201863462937	15	2
201863462936	19	2
201863462935	21	2
201863462934	145	2
201863462933	0	2
201863462932	0	2
201863462931	0	2
201863462930	0	2
201863462929	24	2
201863462928	0	2
201863462927	0	2
201863462926	25	2
201863462925	0	2
201863462924	29	2
201863462923	17	2
201863462922	0	2
201863462921	0	2
201863462920	18	2
201863462919	0	2
201863462918	18	2
201863462917	16	2
201863462916	15	2
201863462915	0	2
201863462914	63	2
201863462913	22	2
199715979299	26	2
199715979298	24	2
199715979297	0	2
199715979296	28	2
199715979295	34	2
199715979294	0	2
199715979293	0	2
199715979292	3347	2
199715979291	0	2
199715979290	23	2
199715979289	523	2
199715979288	17	2
199715979287	24	2
199715979286	0	2
199715979285	0	2
199715979284	316	2
199715979283	19	2
199715979282	44	2
199715979281	20	2
199715979280	0	2
199715979279	2113	2
199715979278	254	2
199715979277	15	2
199715979276	0	2
199715979275	18	2
199715979274	0	2
199715979273	478	2
199715979272	0	2
199715979271	1589	2
199715979270	0	2
199715979269	0	2
199715979268	0	2
199715979267	0	2
199715979266	96	2
199715979265	16	2
197568495652	24	2
197568495651	1451	2
197568495650	18	2
197568495649	0	2
197568495648	29	2
197568495647	0	2
197568495646	18	2
197568495645	16	2
197568495644	0	2
197568495643	0	2
197568495642	0	2
197568495641	0	2
197568495640	374	2
197568495639	0	2
197568495638	19	2
197568495637	17	2
197568495636	24	2
197568495635	143	2
197568495634	0	2
197568495633	0	2
197568495632	0	2
197568495631	0	2
197568495630	25	2
197568495629	0	2
197568495628	28	2
197568495627	0	2
197568495626	0	2
197568495625	0	2
197568495624	31	2
197568495623	0	2
197568495622	0	2
197568495621	0	2
197568495620	1182	2
197568495619	26	2
197568495618	18	2
197568495617	0	2
195421012005	26	2
195421012004	0	2
195421012003	18	2
195421012002	239	2
195421012001	22	2
195421012000	0	2
195421011999	0	2
195421011998	30	2
195421011997	0	2
195421011996	370	2
195421011995	51	2
195421011994	335	2
195421011993	24	2
195421011992	0	2
195421011991	0	2
195421011990	27	2
195421011989	0	2
195421011988	0	2
195421011987	70	2
195421011986	0	2
195421011985	19	2
195421011984	31	2
195421011983	36	2
195421011982	37	2
195421011981	0	2
195421011980	0	2
195421011979	47	2
195421011978	0	2
195421011977	25	2
195421011976	17	2
195421011975	0	2
195421011974	0	2
195421011973	20	2
195421011972	36	2
195421011971	31	2
195421011970	19	2
195421011969	16	2
193273528358	796	2
193273528357	36	2
193273528356	0	2
193273528355	0	2
193273528354	1261	2
193273528353	0	2
193273528352	0	2
193273528351	24	2
193273528350	29	2
193273528349	16	2
193273528348	37	2
193273528347	19	2
193273528346	1061	2
193273528345	0	2
193273528344	15	2
193273528343	25	2
193273528342	15	2
193273528341	18	2
193273528340	18	2
193273528339	0	2
193273528338	23	2
193273528337	45	2
193273528336	16	2
193273528335	0	2
193273528334	0	2
193273528333	0	2
193273528332	37	2
193273528331	0	2
193273528330	25	2
193273528329	0	2
193273528328	16	2
