pair_id	rows	cols	config
2147483649	19	2	3
2147483675	0	2	0
2147483676	226	2	6
2147483679	0	2	0
2147483680	0	2	0
2147483684	51	2	3
2147483690	17	2	3
2147483691	0	2	0
2147483692	0	2	0
2147483705	45	2	3
2147483742	0	2	0
2147483761	0	2	0
2147483769	164	2	6
2147483770	112	2	6
2147483791	145	2	3
2147483792	81	2	6
2147483800	0	2	0
2147483801	77	2	3
2147483812	0	2	0
2147483822	0	2	0
2147483830	0	2	0
2147483832	0	2	0
2147483836	0	2	0
2147483839	0	2	0
2147483842	0	2	0
2147483843	0	2	0
2147483852	0	2	0
2147483853	0	2	0
2147483871	0	2	0
2147483872	0	2	0
2147483873	0	2	0
2147483880	0	2	0
2147483881	59	2	3
2147483897	0	2	0
2147483907	19	2	3
2147483949	40	2	3
2147483962	0	2	0
2147483974	0	2	0
2147484026	0	2	0
2147484030	0	2	0
2147484032	0	2	0
2147484053	89	2	3
2147484054	84	2	3
2147484055	0	2	0
2147484063	0	2	0
2147484085	0	2	0
2147484086	0	2	0
2147484091	68	2	3
2147484116	0	2	0
2147484129	86	2	3
2147484151	0	2	0
2147484164	0	2	0
2147484179	0	2	0
2147484185	0	2	0
2147484192	16	2	3
2147484201	23	2	6
2147484202	0	2	0
2147484217	0	2	0
2147484222	0	2	0
2147484223	0	2	0
2147484286	70	2	3
2147484292	0	2	0
2147484329	0	2	0
2147484347	0	2	0
2147484384	0	2	0
2147484422	0	2	0
2147484463	130	2	3
2147484473	0	2	0
2147484494	0	2	0
2147484495	40	2	3
2147484497	0	2	0
2147484503	0	2	0
2147484510	26	2	3
2147484535	0	2	0
2147484536	0	2	0
2147484552	0	2	0
2147484563	0	2	0
2147484564	0	2	0
2147484573	0	2	0
2147484598	0	2	0
2147484599	0	2	0
2147484600	0	2	0
2147484610	0	2	0
2147484692	0	2	0
2147484693	66	2	6
2147484712	0	2	0
2147484713	0	2	0
2147484714	0	2	0
2147484715	0	2	0
2147484718	0	2	0
2147484719	0	2	0
2147484720	0	2	0
2147484726	0	2	0
2147484736	138	2	6
2147484754	0	2	0
2147484770	0	2	0
2147484774	0	2	0
2147484775	0	2	0
2147484778	0	2	0
2147484801	0	2	0
2147484803	0	2	0
4294967319	266	2	6
4294967323	193	2	3
4294967326	44	2	3
4294967327	79	2	3
4294967328	45	2	3
4294967331	321	2	3
4294967337	92	2	3
4294967338	50	2	3
4294967339	78	2	3
4294967348	92	2	3
4294967352	187	2	3
4294967361	154	2	3
4294967378	91	2	3
4294967389	0	2	0
4294967390	0	2	0
4294967393	0	2	0
4294967397	0	2	0
4294967408	0	2	0
4294967416	158	2	3
4294967417	154	2	3
4294967438	132	2	3
4294967439	287	2	3
4294967446	0	2	0
4294967447	0	2	0
4294967448	230	2	3
4294967459	116	2	3
4294967461	0	2	0
4294967469	54	2	3
4294967479	56	2	3
4294967483	54	2	3
4294967486	0	2	0
4294967489	60	2	3
4294967490	71	2	3
4294967499	40	2	3
4294967500	55	2	3
4294967509	0	2	0
4294967518	0	2	0
4294967519	0	2	0
4294967527	56	2	3
4294967528	412	2	3
4294967554	22	2	3
4294967556	0	2	0
4294967596	36	2	3
4294967631	0	2	0
4294967639	193	2	3
4294967673	0	2	0
4294967677	0	2	0
4294967692	25	2	3
4294967700	71	2	3
4294967701	192	2	3
4294967702	0	2	0
4294967732	0	2	0
4294967733	0	2	0
4294967738	15	2	3
4294967748	0	2	0
4294967762	0	2	0
4294967763	0	2	0
4294967775	0	2	0
4294967776	105	2	3
4294967777	186	2	3
4294967779	0	2	0
4294967798	0	2	0
4294967811	0	2	0
4294967826	0	2	0
4294967832	0	2	0
4294967833	0	2	0
4294967839	0	2	0
4294967843	0	2	0
4294967849	0	2	0
4294967860	191	2	3
4294967864	18	2	3
4294967869	42	2	3
4294967933	383	2	3
4294967939	17	2	3
4294967973	0	2	0
4294967976	0	2	0
4294967978	0	2	0
4294967994	30	2	3
4294968031	0	2	0
4294968061	0	2	0
4294968069	0	2	0
4294968120	60	2	3
4294968123	0	2	0
4294968129	0	2	0
4294968141	0	2	0
4294968142	120	2	3
4294968144	0	2	0
4294968150	0	2	0
4294968157	32	2	3
4294968182	0	2	0
4294968183	0	2	0
4294968199	32	2	3
4294968210	0	2	0
4294968211	0	2	0
4294968215	0	2	0
4294968241	0	2	0
4294968245	0	2	0
4294968247	0	2	0
4294968250	0	2	0
4294968257	0	2	0
4294968319	0	2	0
4294968339	39	2	3
4294968341	0	2	0
4294968358	123	2	3
4294968359	0	2	0
4294968362	0	2	0
4294968366	0	2	0
4294968367	0	2	0
4294968373	0	2	0
4294968383	244	2	3
4294968392	0	2	0
4294968401	0	2	0
4294968404	0	2	0
4294968422	0	2	0
4294968432	0	2	0
4294968450	0	2	0
4294968455	56	2	3
4294968519	0	2	0
4294968540	0	2	0
4294968565	0	2	0
4294968594	0	2	0
4294968618	230	2	3
6442450999	0	2	0
6442451012	0	2	0
6442451014	0	2	0
6442451027	21	2	3
6442451030	21	2	3
6442451037	0	2	0
6442451042	69	2	3
6442451048	46	2	3
6442451051	16	2	3
6442451052	0	2	0
