pair_id	rows	cols	config
55834574849	5051	2	
79456894977	4838	2	
53687091201	4701	2	
51539607553	4649	2	
64424509441	4613	2	
62277025793	4533	2	
49392123905	4526	2	
6442450945	4523	2	
73014444033	4510	2	
60129542145	4496	2	
77309411329	4454	2	
27917287425	4440	2	
57982058497	4419	2	
10737418241	4348	2	
21474836481	4336	2	
66571993089	4331	2	
4294967297	4331	2	
70866960385	4297	2	
2147483649	4232	2	
19327352833	4175	2	
30064771073	4145	2	
68719476737	4111	2	
47244640257	4111	2	
32212254721	4088	2	
8589934593	4043	2	
12884901889	4027	2	
36507222017	4010	2	
25769803777	3965	2	
17179869185	3846	2	
75161927681	3835	2	
38654705665	3787	2	
4294967364	3786	2	
40802189313	3785	2	
53687091202	3729	2	
2147483717	3672	2	
15032385537	3666	2	
55834574850	3601	2	
51539607554	3563	2	
45097156609	3556	2	
83751862273	3531	2	
4294967298	3509	2	
57982058498	3478	2	
81604378625	3451	2	
34359738369	3435	2	
2147483650	3398	2	
42949672961	3392	2	
88046829569	3380	2	
77309411330	3367	2	
62277025794	3316	2	
23622320129	3315	2	
60129542146	3308	2	
49392123906	3277	2	
70866960386	3247	2	
64424509442	3235	2	
6442450946	3213	2	
8589934594	3171	2	
6442451011	3159	2	
47244640258	3093	2	
146028888065	3026	2	2
90194313217	3014	2	2
19327352834	3002	2	2
10737418242	2991	2	2
133143986177	2973	2	2
25769803778	2907	2	2
27917287426	2891	2	2
85899345921	2814	2	2
2147483651	2768	2	2
73014444034	2740	2	2
141733920769	2738	2	2
66571993090	2735	2	2
17179869186	2699	2	2
2147483716	2688	2	2
51539607555	2677	2	2
68719476738	2669	2	2
75161927682	2658	2	2
8589934658	2634	2	2
79456894978	2580	2	2
15032385538	2573	2	2
128849018882	2567	2	2
30064771074	2553	2	2
53687091203	2536	2	2
55834574851	2533	2	2
4294967299	2477	2	2
92341796865	2473	2	2
148176371713	2463	2	2
12884901890	2453	2	2
45097156610	2437	2	2
6442450947	2433	2	2
98784247809	2329	2	2
36507222018	2326	2	2
49392123907	2324	2	2
57982058499	2270	2	2
60129542147	2266	2	2
23622320130	2227	2	2
118111600642	2220	2	2
4294967363	2203	2	2
38654705666	2191	2	2
21474836482	2171	2	2
96636764161	2158	2	2
62277025795	2140	2	2
122406567939	2135	2	2
34359738370	2123	2	2
94489280513	2108	2	2
32212254722	2100	2	2
8589934595	2099	2	2
130996502529	2078	2	2
81604378626	2058	2	2
137438953473	2057	2	2
139586437122	2021	2	2
88046829570	1998	2	2
118111600641	1975	2	2
68719476739	1969	2	2
47244640259	1951	2	2
126701535233	1950	2	2
10737418305	1938	2	2
75161927683	1930	2	2
115964116993	1907	2	2
