pair_id	rows	cols	config
10737418301	0	2	0
122406567946	0	2	0
124554051593	0	2	0
124554051595	0	2	0
124554051596	0	2	0
126701535240	0	2	0
126701535241	0	2	0
126701535242	0	2	0
126701535243	0	2	0
128849018887	0	2	0
128849018889	0	2	0
128849018890	0	2	0
130996502534	0	2	0
130996502535	0	2	0
133143986181	0	2	0
133143986182	0	2	0
133143986183	0	2	0
133143986184	0	2	0
135291469828	0	2	0
135291469829	0	2	0
135291469831	0	2	0
137438953475	0	2	0
137438953476	0	2	0
137438953477	0	2	0
137438953478	0	2	0
139586437122	0	2	0
139586437123	0	2	0
139586437124	0	2	0
139586437125	0	2	0
141733920769	0	2	0
141733920770	0	2	0
141733920771	0	2	0
141733920772	0	2	0
141733920773	0	2	0
141733920774	0	2	0
141733920778	0	2	0
141733920779	0	2	0
2147483655	2862	2	2
2147483656	2512	2	2
2147483657	2250	2	2
2147483658	1851	2	2
2147483659	1713	2	2
2147483660	1406	2	2
2147483661	1260	2	2
2147483662	1097	2	2
2147483663	963	2	2
2147483664	855	2	2
2147483665	746	2	2
2147483666	713	2	2
2147483667	583	2	2
2147483668	547	2	2
2147483669	512	2	2
2147483670	434	2	2
2147483671	422	2	2
2147483672	392	2	2
2147483673	358	2	2
2147483674	359	2	2
2147483675	336	2	2
2147483676	317	2	2
2147483677	286	2	2
2147483678	287	2	2
2147483679	255	2	2
2147483680	235	2	2
2147483681	219	2	2
2147483682	196	2	2
2147483683	189	2	2
2147483684	186	2	2
2147483685	183	2	2
2147483686	164	2	2
2147483687	149	2	2
2147483688	116	2	2
2147483689	127	2	2
2147483690	144	2	2
2147483691	164	2	2
2147483692	175	2	2
2147483693	300	2	2
2147483694	204	2	2
2147483695	212	2	2
2147483696	310	2	2
2147483697	327	2	2
2147483698	297	2	2
2147483699	327	2	2
2147483700	358	2	2
2147483701	281	2	2
2147483702	271	2	2
2147483703	237	2	2
2147483704	317	2	2
2147483705	285	2	2
2147483706	259	2	2
2147483707	236	2	2
2147483708	264	2	2
2147483709	107	2	2
2147483710	231	2	2
2147483711	221	2	2
2147483712	175	2	2
2147483713	35	2	2
2147483714	153	2	2
2147483715	231	2	2
2147483716	367	2	2
2147483717	559	2	2
2147483718	774	2	2
2147483719	964	2	2
2147483720	1065	2	2
2147483721	1398	2	2
2147483722	1771	2	2
2147483723	2027	2	2
2147483724	2177	2	2
4294967304	2721	2	2
4294967305	2345	2	2
4294967306	2094	2	2
4294967307	1770	2	2
4294967308	1575	2	2
4294967309	1411	2	2
4294967310	1225	2	2
4294967311	1098	2	2
4294967312	947	2	2
4294967313	874	2	2
4294967314	742	2	2
4294967315	703	2	2
4294967316	645	2	2
4294967317	573	2	2
4294967318	507	2	2
4294967319	481	2	2
4294967320	428	2	2
4294967321	413	2	2
4294967322	406	2	2
4294967323	377	2	2
4294967324	358	2	2
4294967325	335	2	2
4294967326	293	2	2
4294967327	286	2	2
4294967328	254	2	2
4294967329	244	2	2
4294967330	229	2	2
4294967331	229	2	2
4294967332	212	2	2
4294967333	206	2	2
4294967334	188	2	2
4294967335	147	2	2
4294967336	149	2	2
4294967337	177	2	2
4294967338	189	2	2
4294967339	217	2	2
4294967340	378	2	2
4294967341	246	2	2
4294967342	271	2	2
4294967343	356	2	2
4294967344	380	2	2
4294967345	310	2	2
4294967346	376	2	2
4294967347	393	2	2
