pair_id	rows	cols	config
10737418318	0	2	0
8589934650	0	2	0
2147483730	0	2	0
169651208195	3069	2	2
27917287430	3069	2	2
30064771078	3067	2	2
55834574853	3065	2	2
47244640260	3057	2	2
73014444037	3050	2	2
25769803781	3049	2	2
120259084291	3045	2	2
23622320131	3044	2	2
25769803780	3041	2	2
42949672965	3037	2	2
40802189317	3036	2	2
141733920775	3035	2	2
75161927685	3031	2	2
49392123910	3029	2	2
77309411334	3023	2	2
15032385538	3010	2	2
150323855366	2998	2	2
34359738375	2980	2	2
81604378629	2968	2	2
38654705670	2964	2	2
143881404423	2961	2	2
62277025799	2960	2	2
70866960389	2958	2	2
100931731459	2956	2	2
51539607558	2953	2	2
135291469830	2947	2	2
94489280516	2947	2	2
36507222022	2947	2	2
57982058501	2946	2	2
47244640261	2946	2	2
53687091206	2931	2	2
6442450946	2929	2	2
126701535237	2924	2	2
83751862277	2922	2	2
32212254727	2913	2	2
45097156613	2910	2	2
19327352835	2910	2	2
88046829573	2904	2	2
79456894982	2904	2	2
25769803782	2900	2	2
75161927686	2875	2	2
103079215105	2868	2	2
21474836483	2863	2	2
49392123909	2861	2	2
23622320132	2857	2	2
68719476742	2855	2	2
139586437127	2853	2	2
40802189318	2846	2	2
85899345925	2844	2	2
161061273606	2843	2	2
64424509447	2841	2	2
90194313221	2840	2	2
152471339015	2837	2	2
47244640263	2827	2	2
27917287432	2826	2	2
146028888071	2820	2	2
51539607559	2817	2	2
137438953479	2811	2	2
60129542149	2811	2	2
27917287431	2808	2	2
130996502531	2805	2	2
154618822663	2804	2	2
32212254728	2803	2	2
17179869187	2803	2	2
173946175491	2802	2	2
128849018886	2802	2	2
45097156614	2801	2	2
70866960390	2797	2	2
38654705671	2793	2	2
173946175492	2785	2	2
135291469831	2775	2	2
25769803783	2772	2	2
36507222023	2752	2	2
49392123911	2751	2	2
34359738376	2747	2	2
107374182401	2740	2	2
30064771080	2740	2	2
57982058502	2738	2	2
21474836484	2737	2	2
167503724548	2736	2	2
77309411335	2736	2	2
120259084292	2734	2	2
23622320133	2734	2	2
42949672966	2731	2	2
73014444038	2730	2	2
148176371719	2729	2	2
45097156616	2723	2	2
30064771081	2711	2	2
23622320134	2711	2	2
55834574854	2697	2	2
75161927687	2695	2	2
139586437128	2693	2	2
98784247812	2687	2	2
156766306311	2681	2	2
126701535238	2676	2	2
141733920776	2661	2	2
4294967298	2661	2	2
81604378630	2658	2	2
68719476743	2653	2	2
158913789959	2648	2	2
53687091207	2647	2	2
47244640262	2644	2	2
60129542150	2642	2	2
62277025800	2640	2	2
66571993095	2634	2	2
60129542151	2629	2	2
49392123912	2628	2	2
36507222024	2625	2	2
130996502532	2623	2	2
124554051587	2617	2	2
150323855367	2612	2	2
42949672967	2612	2	2
27917287433	2599	2	2
12884901890	2599	2	2
92341796869	2596	2	2
34359738377	2595	2	2
40802189319	2590	2	2
23622320135	2590	2	2
135291469832	2588	2	2
143881404424	2585	2	2
21474836485	2582	2	2
88046829574	2571	2	2
25769803784	2567	2	2
47244640264	2565	2	2
15032385539	2565	2	2
79456894983	2564	2	2
171798691844	2560	2	2
25769803785	2553	2	2
57982058503	2542	2	2
19327352836	2540	2	2
21474836487	2532	2	2
32212254729	2527	2	2
171798691845	2521	2	2
45097156615	2519	2	2
152471339016	2518	2	2
85899345926	2516	2	2
17179869188	2513	2	2
111669149697	2511	2	2
42949672969	2509	2	2
51539607560	2508	2	2
38654705672	2502	2	2
27917287434	2497	2	2
55834574855	2488	2	2
45097156617	2488	2	2
124554051589	2484	2	2
137438953480	2483	2	2
73014444039	2483	2	2
57982058504	2482	2	2
83751862278	2480	2	2
146028888072	2479	2	2
70866960391	2479	2	2
66571993096	2478	2	2
75161927688	2468	2	2
40802189320	2467	2	2
154618822664	2465	2	2
21474836486	2462	2	2
165356240901	2460	2	2
23622320136	2460	2	2
30064771082	2455	2	2
128849018887	2446	2	2
38654705673	2445	2	2
8589934594	2443	2	2
47244640265	2441	2	2
148176371720	2437	2	2
96636764165	2433	2	2
60129542152	2430	2	2
126701535239	2428	2	2
19327352837	2420	2	2
64424509448	2413	2	2
21474836488	2407	2	2
77309411336	2403	2	2
15032385540	2399	2	2
45097156618	2393	2	2
12884901891	2393	2	2
130996502533	2386	2	2
169651208197	2380	2	2
32212254730	2375	2	2
23622320137	2375	2	2
53687091208	2373	2	2
90194313222	2371	2	2
40802189322	2370	2	2
124554051590	2364	2	2
10737418242	2350	2	2
2147483651	2337	2	2
25769803786	2335	2	2
34359738378	2334	2	2
141733920777	2330	2	2
139586437129	2329	2	2
137438953481	2327	2	2
68719476744	2323	2	2
150323855368	2319	2	2
19327352838	2318	2	2
73014444040	2316	2	2
36507222025	2316	2	2
55834574856	2313	2	2
49392123913	2308	2	2
109521666049	2305	2	2
30064771083	2304	2	2
38654705675	2303	2	2
143881404425	2301	2	2
21474836489	2296	2	2
23622320138	2293	2	2
42949672968	2290	2	2
25769803787	2290	2	2
34359738379	2286	2	2
113816633345	2282	2	2
146028888073	2271	2	2
17179869189	2270	2	2
19327352840	2268	2	2
169651208198	2267	2	2
156766306312	2265	2	2
15032385541	2265	2	2
70866960392	2262	2	2
83751862279	2256	2	2
38654705674	2255	2	2
100931731458	2254	2	2
135291469833	2251	2	2
36507222026	2249	2	2
152471339017	2246	2	2
27917287435	2246	2	2
81604378631	2243	2	2
51539607561	2234	2	2
85899345927	2233	2	2
64424509449	2232	2	2
40802189321	2230	2	2
60129542153	2229	2	2
55834574857	2228	2	2
66571993097	2225	2	2
42949672970	2224	2	2
57982058505	2222	2	2
36507222028	2219	2	2
4294967299	2216	2	2
68719476745	2213	2	2
88046829575	2204	2	2
163208757254	2203	2	2
79456894984	2197	2	2
53687091209	2193	2	2
19327352839	2192	2	2
75161927689	2189	2	2
115964116993	2180	2	2
38654705676	2180	2	2
62277025801	2179	2	2
53687091210	2176	2	2
47244640266	2175	2	2
32212254731	2172	2	2
128849018888	2170	2	2
148176371721	2168	2	2
19327352841	2167	2	2
176093659139	2166	2	2
135291469834	2164	2	2
124554051591	2162	2	2
23622320139	2160	2	2
21474836490	2160	2	2
40802189323	2157	2	2
94489280518	2153	2	2
105226698754	2151	2	2
12884901892	2150	2	2
118111600641	2144	2	2
17179869190	2144	2	2
42949672971	2142	2	2
34359738381	2137	2	2
173946175490	2136	2	2
27917287436	2125	2	2
10737418243	2122	2	2
77309411337	2106	2	2
73014444041	2104	2	2
36507222027	2100	2	2
25769803788	2099	2	2
21474836491	2098	2	2
167503724550	2097	2	2
141733920778	2095	2	2
126701535240	2094	2	2
40802189324	2087	2	2
137438953482	2082	2	2
70866960393	2082	2	2
49392123914	2082	2	2
45097156619	2079	2	2
143881404426	2076	2	2
12884901893	2075	2	2
130996502534	2074	2	2
32212254732	2072	2	2
23622320140	2068	2	2
66571993098	2063	2	2
154618822665	2060	2	2
139586437130	2059	2	2
68719476746	2058	2	2
51539607562	2057	2	2
51539607563	2056	2	2
30064771084	2056	2	2
15032385542	2055	2	2
19327352842	2054	2	2
17179869191	2046	2	2
122406567942	2045	2	2
36507222029	2043	2	2
146028888074	2037	2	2
98784247811	2036	2	2
32212254734	2033	2	2
81604378632	2026	2	2
55834574858	2025	2	2
17179869193	2021	2	2
122406567940	2020	2	2
150323855369	2017	2	2
8589934595	2017	2	2
62277025802	2015	2	2
25769803789	2013	2	2
6442450947	2012	2	2
38654705677	2011	2	2
83751862280	2000	2	2
10737418244	2000	2	2
60129542154	1998	2	2
57982058506	1998	2	2
107374182402	1996	2	2
167503724551	1992	2	2
21474836492	1989	2	2
53687091211	1987	2	2
64424509450	1984	2	2
30064771085	1984	2	2
17179869192	1972	2	2
161061273607	1965	2	2
34359738380	1958	2	2
2147483652	1954	2	2
122406567943	1953	2	2
15032385543	1953	2	2
19327352843	1952	2	2
85899345928	1943	2	2
34359738382	1942	2	2
30064771087	1939	2	2
23622320141	1939	2	2
92341796871	1938	2	2
49392123915	1938	2	2
19327352844	1938	2	2
66571993099	1937	2	2
12884901894	1934	2	2
27917287437	1931	2	2
103079215107	1926	2	2
75161927690	1925	2	2
47244640267	1925	2	2
143881404427	1920	2	2
141733920779	1915	2	2
70866960394	1915	2	2
79456894985	1913	2	2
64424509451	1913	2	2
42949672972	1912	2	2
17179869194	1908	2	2
49392123916	1907	2	2
120259084295	1903	2	2
21474836493	1902	2	2
124554051592	1899	2	2
148176371722	1891	2	2
139586437131	1891	2	2
15032385544	1885	2	2
137438953483	1884	2	2
135291469835	1880	2	2
128849018889	1880	2	2
73014444042	1878	2	2
178241142786	1877	2	2
126701535241	1875	2	2
150323855370	1874	2	2
109521666050	1872	2	2
32212254733	1871	2	2
27917287438	1869	2	2
8589934596	1867	2	2
23622320142	1865	2	2
45097156620	1861	2	2
34359738383	1861	2	2
10737418245	1859	2	2
60129542155	1855	2	2
171798691843	1854	2	2
152471339018	1851	2	2
36507222030	1851	2	2
68719476747	1850	2	2
51539607564	1850	2	2
40802189325	1845	2	2
130996502535	1844	2	2
15032385546	1844	2	2
81604378633	1825	2	2
55834574859	1820	2	2
12884901895	1820	2	2
8589934597	1820	2	2
90194313224	1819	2	2
19327352845	1816	2	2
47244640268	1814	2	2
62277025803	1813	2	2
158913789960	1812	2	2
25769803790	1810	2	2
77309411338	1808	2	2
176093659138	1804	2	2
64424509452	1804	2	2
15032385545	1798	2	2
17179869195	1797	2	2
10737418246	1797	2	2
32212254735	1795	2	2
146028888075	1790	2	2
47244640269	1785	2	2
21474836494	1782	2	2
66571993100	1777	2	2
148176371723	1776	2	2
122406567944	1776	2	2
38654705678	1776	2	2
96636764164	1775	2	2
141733920780	1773	2	2
53687091212	1771	2	2
120259084293	1769	2	2
42949672973	1765	2	2
27917287440	1762	2	2
62277025804	1759	2	2
30064771086	1757	2	2
49392123917	1753	2	2
15032385547	1751	2	2
8589934598	1751	2	2
79456894986	1746	2	2
30064771088	1745	2	2
25769803791	1745	2	2
19327352846	1745	2	2
12884901896	1743	2	2
128849018890	1738	2	2
10737418247	1738	2	2
165356240904	1734	2	2
32212254736	1734	2	2
57982058507	1729	2	2
21474836495	1729	2	2
100931731460	1720	2	2
139586437132	1718	2	2
120259084296	1718	2	2
17179869196	1718	2	2
45097156622	1714	2	2
77309411339	1710	2	2
107374182403	1709	2	2
83751862281	1709	2	2
8589934599	1707	2	2
70866960395	1698	2	2
128849018882	1697	2	2
17179869197	1681	2	2
45097156621	1680	2	2
51539607565	1678	2	2
137438953484	1675	2	2
23622320143	1673	2	2
15032385548	1673	2	2
6442450948	1673	2	2
36507222031	1668	2	2
105226698755	1666	2	2
4294967300	1665	2	2
150323855371	1664	2	2
111669149698	1664	2	2
143881404428	1661	2	2
124554051593	1661	2	2
57982058508	1655	2	2
12884901897	1655	2	2
60129542156	1653	2	2
40802189326	1650	2	2
165356240903	1648	2	2
30064771089	1648	2	2
88046829577	1643	2	2
156766306313	1642	2	2
135291469836	1642	2	2
19327352847	1642	2	2
118111600642	1638	2	2
12884901899	1637	2	2
94489280517	1636	2	2
146028888076	1634	2	2
6442450949	1630	2	2
75161927691	1627	2	2
73014444043	1625	2	2
27917287439	1620	2	2
23622320144	1619	2	2
47244640270	1618	2	2
130996502536	1617	2	2
64424509453	1617	2	2
68719476748	1615	2	2
6442450950	1615	2	2
169651208196	1612	2	2
141733920781	1612	2	2
42949672974	1612	2	2
8589934600	1611	2	2
122406567945	1609	2	2
107374182406	1604	2	2
27917287441	1604	2	2
62277025805	1602	2	2
113816633346	1601	2	2
15032385549	1600	2	2
10737418248	1598	2	2
55834574860	1597	2	2
34359738384	1596	2	2
12884901898	1596	2	2
126701535242	1595	2	2
25769803793	1595	2	2
139586437133	1592	2	2
2147483653	1589	2	2
19327352848	1585	2	2
17179869198	1584	2	2
120259084297	1581	2	2
38654705679	1580	2	2
42949672975	1579	2	2
25769803792	1577	2	2
81604378634	1570	2	2
53687091213	1569	2	2
12884901900	1569	2	2
45097156623	1568	2	2
15032385550	1560	2	2
115964116994	1557	2	2
21474836496	1557	2	2
66571993101	1556	2	2
103079215108	1551	2	2
49392123918	1551	2	2
17179869199	1550	2	2
143881404429	1548	2	2
128849018891	1548	2	2
60129542157	1548	2	2
98784247813	1545	2	2
27917287442	1542	2	2
148176371724	1533	2	2
40802189327	1528	2	2
137438953485	1527	2	2
118111600643	1527	2	2
10737418249	1524	2	2
75161927692	1520	2	2
23622320146	1515	2	2
6442450951	1512	2	2
32212254737	1509	2	2
130996502537	1507	2	2
55834574861	1507	2	2
51539607566	1506	2	2
21474836497	1506	2	2
92341796870	1505	2	2
25769803794	1498	2	2
70866960396	1496	2	2
154618822666	1493	2	2
85899345930	1493	2	2
163208757257	1490	2	2
36507222032	1489	2	2
34359738385	1489	2	2
79456894987	1487	2	2
10737418250	1487	2	2
12884901901	1486	2	2
2147483654	1485	2	2
57982058509	1483	2	2
40802189328	1480	2	2
126701535243	1476	2	2
107374182409	1476	2	2
6442450952	1472	2	2
62277025806	1471	2	2
135291469837	1469	2	2
15032385551	1469	2	2
107374182408	1467	2	2
10737418252	1467	2	2
4294967301	1463	2	2
23622320145	1460	2	2
124554051594	1457	2	2
107374182410	1457	2	2
8589934601	1455	2	2
146028888077	1453	2	2
8589934602	1449	2	2
107374182407	1447	2	2
47244640271	1447	2	2
