pair_id	rows	cols	config
266287972354	585	2	7
277025390594	2192	2	6
277025390593	2534	2	6
274877906947	43	2	6
274877906946	48	2	6
274877906945	38	2	6
272730423300	53	2	6
272730423299	69	2	6
272730423298	64	2	6
270582939653	43	2	6
270582939652	56	2	6
270582939651	67	2	6
270582939650	552	2	6
270582939649	1620	2	6
268435456006	67	2	6
268435456005	76	2	6
268435456004	53	2	6
268435456001	538	2	6
266287972358	81	2	6
266287972357	80	2	6
266287972356	460	2	6
266287972355	589	2	6
266287972353	1817	2	6
264140488707	383	2	6
264140488705	604	2	6
261993005061	484	2	6
261993005059	656	2	6
261993005057	1910	2	6
259845521415	339	2	6
259845521413	352	2	6
257698037768	178	2	6
257698037767	261	2	6
257698037766	272	2	6
257698037763	389	2	6
257698037761	1560	2	6
255550554121	288	2	6
255550554120	342	2	6
255550554119	287	2	6
253403070474	209	2	6
253403070473	279	2	6
253403070465	1487	2	6
251255586826	236	2	6
249108103180	44	2	6
249108103171	247	2	6
249108103169	1419	2	6
244813135885	38	2	6
244813135884	37	2	6
244813135877	92	2	6
244813135873	1315	2	6
242665652239	57	2	6
242665652238	77	2	6
242665652237	54	2	6
242665652235	82	2	6
242665652233	91	2	6
242665652225	299	2	6
240518168592	21	2	6
240518168579	332	2	6
240518168577	1758	2	6
238370684948	762	2	6
238370684947	827	2	6
238370684946	589	2	6
238370684945	26	2	6
238370684944	38	2	6
238370684931	207	2	6
238370684929	410	2	6
236223201298	16	2	6
236223201297	50	2	6
236223201285	233	2	6
236223201283	454	2	6
236223201281	1396	2	6
234075717654	1206	2	6
234075717653	1302	2	6
234075717652	1014	2	6
234075717651	38	2	6
234075717650	37	2	6
234075717649	23	2	6
234075717647	39	2	6
234075717645	53	2	6
234075717639	41	2	6
234075717637	191	2	6
234075717636	777	2	6
234075717635	387	2	6
234075717634	1244	2	6
234075717633	602	2	6
231928234003	42	2	6
231928233991	196	2	6
231928233989	391	2	6
231928233987	554	2	6
231928233986	1184	2	6
231928233985	2357	2	6
229780750360	1756	2	6
229780750359	1922	2	6
229780750358	1589	2	6
229780750357	56	2	6
229780750356	41	2	6
229780750355	33	2	6
229780750353	51	2	6
229780750351	86	2	6
229780750345	59	2	6
229780750343	192	2	6
229780750341	402	2	6
229780750340	1097	2	6
229780750339	609	2	6
229780750338	1898	2	6
229780750337	1171	2	6
227633266713	1378	2	6
227633266712	1536	2	6
227633266711	1693	2	6
227633266709	53	2	6
227633266708	52	2	6
227633266693	561	2	6
227633266691	1098	2	6
227633266690	2112	2	6
227633266689	2903	2	6
225485783066	2316	2	6
225485783065	2569	2	6
