pair_id	rows	cols	config
300647710721	3722	2	0
298500227074	3124	2	0
298500227073	3744	2	0
296352743425	3924	2	0
152471339011	3370	2	0
152471339010	3833	2	0
152471339009	4706	2	0
150323855419	3116	2	0
126701535285	0	2	0
126701535284	0	2	0
100931731547	0	2	0
100931731546	0	2	0
100931731545	0	2	0
100931731544	0	2	0
100931731540	0	2	0
100931731529	0	2	0
100931731527	0	2	0
100931731526	0	2	0
100931731525	0	2	0
100931731524	0	2	0
100931731523	0	2	0
100931731519	0	2	0
100931731516	0	2	0
100931731515	0	2	0
100931731514	0	2	0
100931731513	0	2	0
100931731511	0	2	0
100931731509	0	2	0
100931731507	0	2	0
100931731505	0	2	0
100931731504	0	2	0
100931731502	0	2	0
100931731501	0	2	0
100931731500	0	2	0
100931731499	0	2	0
100931731498	0	2	0
100931731497	0	2	0
100931731496	0	2	0
100931731495	0	2	0
100931731494	0	2	0
100931731493	0	2	0
100931731492	0	2	0
100931731491	0	2	0
100931731490	0	2	0
100931731489	0	2	0
100931731484	0	2	0
100931731483	0	2	0
100931731480	0	2	0
100931731479	0	2	0
100931731474	0	2	0
100931731472	0	2	0
100931731471	0	2	0
100931731470	0	2	0
98784247901	0	2	0
98784247893	0	2	0
98784247880	0	2	0
98784247847	0	2	0
96636764199	0	2	0
96636764197	0	2	0
88046829610	0	2	0
296352743427	2838	2	2
296352743426	3030	2	2
294205259780	2269	2	2
294205259779	2291	2	2
294205259778	2679	2	2
294205259777	3060	2	2
292057776133	1879	2	2
292057776132	1951	2	2
292057776131	2172	2	2
292057776130	2353	2	2
292057776129	2658	2	2
289910292486	1581	2	2
289910292485	1692	2	2
289910292484	1841	2	2
289910292483	1984	2	2
289910292482	2187	2	2
289910292481	2780	2	2
287762808839	1525	2	2
287762808838	1488	2	2
287762808837	1622	2	2
287762808836	1801	2	2
287762808835	1907	2	2
287762808834	2294	2	2
287762808833	3036	2	2
285615325192	1313	2	2
285615325191	1356	2	2
285615325190	1442	2	2
285615325189	1507	2	2
285615325188	1624	2	2
285615325187	1843	2	2
285615325186	2278	2	2
283467841545	1111	2	2
283467841544	1099	2	2
283467841543	1182	2	2
283467841542	1230	2	2
283467841541	1315	2	2
283467841540	1472	2	2
283467841539	1679	2	2
283467841537	2263	2	2
281320357898	983	2	2
281320357897	979	2	2
281320357896	1120	2	2
281320357895	1126	2	2
281320357894	1160	2	2
281320357893	1291	2	2
281320357892	1472	2	2
281320357891	2883	2	2
281320357890	1841	2	2
279172874251	970	2	2
279172874250	938	2	2
279172874249	1039	2	2
279172874248	1112	2	2
279172874247	1121	2	2
279172874246	1220	2	2
279172874245	1441	2	2
279172874244	2020	2	2
279172874243	1645	2	2
279172874242	2418	2	2
279172874241	3016	2	2
277025390604	846	2	2
277025390603	805	2	2
277025390602	914	2	2
277025390601	979	2	2
277025390600	974	2	2
277025390599	1044	2	2
277025390598	1238	2	2
277025390597	2179	2	2
277025390596	1368	2	2
277025390595	2470	2	2
277025390594	2888	2	2
277025390593	2854	2	2
274877906957	965	2	2
274877906956	942	2	2
274877906955	1027	2	2
274877906954	1160	2	2
274877906953	1195	2	2
274877906952	1251	2	2
274877906951	1367	2	2
274877906950	2402	2	2
274877906949	1394	2	2
274877906948	2541	2	2
274877906947	3062	2	2
274877906946	2504	2	2
272730423310	846	2	2
272730423309	831	2	2
272730423308	921	2	2
272730423307	1029	2	2
272730423306	1009	2	2
272730423305	1061	2	2
272730423304	1202	2	2
272730423303	2171	2	2
272730423302	1207	2	2
272730423301	2322	2	2
272730423300	2830	2	2
272730423299	2249	2	2
270582939663	738	2	2
270582939662	773	2	2
270582939661	825	2	2
270582939660	905	2	2
270582939659	938	2	2
270582939658	945	2	2
270582939657	1096	2	2
270582939656	1979	2	2
270582939655	1072	2	2
270582939654	1998	2	2
270582939653	2443	2	2
270582939652	1891	2	2
270582939651	2752	2	2
268435456016	722	2	2
268435456015	703	2	2
268435456014	749	2	2
268435456013	810	2	2
268435456012	780	2	2
268435456011	852	2	2
268435456010	939	2	2
268435456009	1802	2	2
268435456008	994	2	2
268435456007	1951	2	2
268435456006	2341	2	2
268435456005	1654	2	2
268435456004	2385	2	2
268435456003	2944	2	2
266287972369	743	2	2
266287972368	730	2	2
266287972367	782	2	2
266287972366	848	2	2
266287972365	826	2	2
266287972364	816	2	2
266287972363	927	2	2
266287972362	1774	2	2
266287972361	970	2	2
266287972360	1986	2	2
266287972359	2515	2	2
266287972358	1674	2	2
266287972357	2203	2	2
266287972356	2760	2	2
264140488722	663	2	2
264140488721	650	2	2
264140488720	707	2	2
264140488719	742	2	2
264140488718	723	2	2
264140488717	761	2	2
264140488716	846	2	2
264140488715	1543	2	2
264140488714	859	2	2
264140488713	1738	2	2
264140488712	2085	2	2
264140488711	1475	2	2
264140488709	2395	2	2
264140488708	2798	2	2
261993005075	607	2	2
261993005074	617	2	2
261993005073	662	2	2
261993005072	706	2	2
261993005071	680	2	2
261993005070	706	2	2
261993005069	787	2	2
261993005068	1498	2	2
261993005067	816	2	2
261993005066	1665	2	2
261993005065	2027	2	2
261993005064	1388	2	2
261993005062	2310	2	2
261993005061	2716	2	2
259845521428	620	2	2
259845521427	615	2	2
259845521426	657	2	2
259845521425	707	2	2
259845521424	680	2	2
259845521423	701	2	2
259845521422	788	2	2
259845521421	1442	2	2
259845521420	765	2	2
259845521419	1496	2	2
259845521418	1828	2	2
259845521417	1317	2	2
259845521414	2484	2	2
257698037780	534	2	2
257698037779	552	2	2
257698037778	593	2	2
257698037777	569	2	2
257698037776	600	2	2
257698037775	693	2	2
257698037774	1269	2	2
257698037773	699	2	2
257698037772	1341	2	2
257698037770	1192	2	2
257698037769	1444	2	2
257698037768	1858	2	2
257698037767	2169	2	2
257698037766	2576	2	2
255550554133	464	2	2
255550554131	530	2	2
255550554130	511	2	2
255550554129	514	2	2
255550554128	585	2	2
255550554127	1144	2	2
255550554126	596	2	2
255550554125	1219	2	2
255550554124	1550	2	2
255550554123	1053	2	2
255550554122	1342	2	2
255550554121	1754	2	2
255550554120	2061	2	2
255550554119	2422	2	2
255550554118	2869	2	2
253403070487	421	2	2
253403070486	429	2	2
253403070485	445	2	2
253403070484	463	2	2
253403070483	477	2	2
253403070482	453	2	2
253403070481	531	2	2
253403070480	1033	2	2
253403070479	537	2	2
253403070478	1131	2	2
253403070477	1416	2	2
253403070476	885	2	2
253403070475	1199	2	2
253403070474	1569	2	2
253403070473	1815	2	2
253403070472	2086	2	2
253403070471	2445	2	2
251255586839	386	2	2
251255586836	450	2	2
251255586835	398	2	2
251255586834	475	2	2
251255586833	877	2	2
251255586832	472	2	2
251255586831	990	2	2
251255586830	1203	2	2
251255586829	787	2	2
251255586828	1062	2	2
251255586827	1343	2	2
251255586826	1531	2	2
251255586825	1814	2	2
251255586824	2092	2	2
251255586823	2558	2	2
251255586822	2640	2	2
251255586821	2811	2	2
249108103192	325	2	2
249108103191	335	2	2
249108103190	347	2	2
